"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"0.5mm_VIA";12;"0.5mm_VIA";;;
2;"J1";"DB37FD";1;"DB37_MALE";;;
3;"J2";"TerminalBlock_Pheonix_MPT-2.54mm_4pol";1;"CONN_01X04";;;
4;"SW1,SW2";"SW_PUSH_6mm";2;"Tact_SW_NO";;;
5;"U1";"TO-92_Inline_Wide";1;"LM35DZ";;;
6;"U2,U3";"DIP-6_W7.62mm";2;"4N25";;;
7;"D1,D2,D3,D4";"D_DO-41_SOD81_P10.16mm_Horizontal";4;"D";;;
8;"J4,J5,J9";"Socket_Strip_Straight_1x01_Pitch2.54mm";3;"TEST_1P";;;
9;"R1,R2,R5,R6,R8,R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";6;"10k";;;
10;"R3,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"220";;;
11;"U5";"DIP-16_W7.62mm";1;"L293D";;;
12;"J3";"Socket_Strip_Straight_1x02_Pitch2.54mm";1;"CONN_01X02";;;
13;"REF**,REF**";"MountingHole_3.2mm_M3";2;"MountingHole_3.2mm_M3";;;
